job_id,job_title,company_name,location,experience_required_years,skills,salary_min_inr,salary_max_inr,employment_type,remote_option
1,Data Analyst,Flipkart,Noida,3,"Kubernetes, Docker, Tableau",735003,1098465,Internship,Hybrid
2,ML Engineer,Infosys,Kolkata,3,"Python, React, Tableau",905315,1047637,Internship,Hybrid
3,ML Engineer,Cognizant,Hyderabad,11,"Node.js, Machine Learning, SQL",1733025,1964890,Internship,Remote
4,Backend Developer,Flipkart,Chennai,4,"Python, Machine Learning, React",801572,1141406,Contract,Hybrid
5,Data Analyst,Cognizant,Kolkata,15,"Power BI, Docker, Azure",818144,1208834,Contract,Remote
6,Cybersecurity Analyst,HCLTech,Mumbai,0,"Python, Docker, SQL",1675732,2047306,Internship,Remote
7,DevOps Engineer,Infosys,Kolkata,15,"React, Tableau, Docker",1685746,1860411,Contract,Remote
8,DevOps Engineer,Cognizant,Pune,15,"Azure, Node.js, Python",1345141,1732528,Full-time,Onsite
9,Business Analyst,HCLTech,Chennai,15,"Node.js, Tableau, React",980486,1354630,Internship,Hybrid
10,DevOps Engineer,Infosys,Kolkata,10,"Node.js, Docker, Azure",770506,1022585,Contract,Onsite
11,DevOps Engineer,Tech Mahindra,Hyderabad,8,"AWS, Power BI, Java",1704842,1838551,Contract,Onsite
12,Data Analyst,HCLTech,Pune,2,"SQL, Kubernetes, Python",400224,736798,Internship,Hybrid
13,Frontend Developer,Flipkart,Kolkata,10,"Node.js, Java, Docker",612278,714968,Full-time,Hybrid
14,Business Analyst,Cognizant,Mumbai,9,"Java, Kubernetes, Azure",637590,1002209,Internship,Hybrid
15,DevOps Engineer,TCS,Hyderabad,6,"Power BI, SQL, Python",1011503,1384148,Contract,Remote
16,Frontend Developer,Capgemini,Delhi NCR,0,"React, Azure, Tableau",1256914,1370435,Contract,Onsite
17,Cybersecurity Analyst,Flipkart,Pune,5,"Power BI, Kubernetes, Machine Learning",1578495,1978187,Contract,Remote
18,ML Engineer,HCLTech,Mumbai,12,"Python, React, Docker",2322914,2459356,Full-time,Hybrid
19,ML Engineer,Zoho,Pune,4,"Docker, Java, React",1914687,2025419,Internship,Onsite
20,DevOps Engineer,Cognizant,Chennai,13,"Java, Machine Learning, Node.js",1272117,1595125,Contract,Hybrid
21,Cybersecurity Analyst,Tech Mahindra,Kolkata,14,"Tableau, SQL, Docker",1471864,1722686,Internship,Hybrid
22,Data Analyst,Capgemini,Delhi NCR,0,"Power BI, Docker, Java",624742,846028,Full-time,Hybrid
23,Software Engineer,Flipkart,Chennai,6,"Docker, Kubernetes, AWS",1237571,1632222,Internship,Hybrid
24,Business Analyst,Accenture,Hyderabad,4,"Power BI, Java, SQL",781123,1172487,Internship,Onsite
25,Frontend Developer,Tech Mahindra,Chennai,3,"Kubernetes, SQL, Azure",1207447,1404699,Contract,Onsite
26,Backend Developer,Accenture,Noida,0,"Python, Node.js, SQL",768565,901531,Full-time,Onsite
27,Backend Developer,Capgemini,Bangalore,11,"Power BI, Machine Learning, Kubernetes",628996,778210,Full-time,Remote
28,Cybersecurity Analyst,Accenture,Noida,11,"Azure, Machine Learning, Python",1493646,1656267,Internship,Remote
29,DevOps Engineer,Infosys,Chennai,10,"Power BI, Machine Learning, Kubernetes",749625,997175,Full-time,Remote
30,Frontend Developer,Wipro,Hyderabad,1,"SQL, Python, Java",657039,1051092,Internship,Hybrid
31,Business Analyst,Flipkart,Mumbai,0,"Machine Learning, Power BI, React",1179365,1437826,Contract,Onsite
32,DevOps Engineer,TCS,Noida,5,"Azure, Java, AWS",1160461,1326106,Full-time,Onsite
33,Backend Developer,Tech Mahindra,Mumbai,13,"React, Kubernetes, SQL",1067436,1418487,Full-time,Remote
34,Data Scientist,Zoho,Delhi NCR,8,"Python, React, Node.js",2163595,2533103,Internship,Onsite
35,Cybersecurity Analyst,Tech Mahindra,Pune,4,"Docker, Azure, Machine Learning",722257,938564,Full-time,Hybrid
36,Frontend Developer,Flipkart,Chennai,15,"AWS, Java, Power BI",931577,1271470,Full-time,Hybrid
37,Data Scientist,Wipro,Hyderabad,13,"Azure, Machine Learning, Docker",1543298,1917619,Internship,Hybrid
38,Software Engineer,Flipkart,Chennai,6,"Kubernetes, Python, Power BI",711291,820912,Contract,Remote
39,Cloud Engineer,Wipro,Noida,3,"Machine Learning, Docker, Azure",1131442,1498179,Contract,Onsite
40,Business Analyst,Accenture,Chennai,5,"Machine Learning, Java, Power BI",1194435,1393932,Full-time,Remote
41,Data Scientist,Zoho,Mumbai,13,"Node.js, Docker, Python",2070771,2422435,Full-time,Hybrid
42,Cloud Engineer,Zoho,Bangalore,0,"Machine Learning, SQL, Node.js",1103553,1289503,Contract,Onsite
43,Cloud Engineer,Tech Mahindra,Kolkata,4,"SQL, Node.js, Power BI",1123435,1353539,Contract,Remote
44,Backend Developer,Capgemini,Hyderabad,11,"Docker, Node.js, AWS",1179000,1340629,Contract,Remote
45,Cybersecurity Analyst,Capgemini,Chennai,2,"Azure, React, AWS",1323766,1467045,Full-time,Hybrid
46,DevOps Engineer,Capgemini,Noida,10,"Machine Learning, Java, AWS",1761729,2156156,Contract,Onsite
47,Frontend Developer,Cognizant,Pune,13,"Java, Tableau, Kubernetes",1245685,1529240,Internship,Remote
48,Software Engineer,Tech Mahindra,Chennai,10,"Tableau, Azure, Java",1404492,1644806,Internship,Remote
49,Backend Developer,Infosys,Chennai,4,"Azure, Kubernetes, Tableau",745673,1019616,Internship,Hybrid
50,DevOps Engineer,Cognizant,Delhi NCR,10,"SQL, React, Tableau",745551,1133770,Internship,Remote
51,Cloud Engineer,Tech Mahindra,Bangalore,13,"Power BI, Java, Python",1883578,2093632,Contract,Remote
52,Backend Developer,Capgemini,Delhi NCR,13,"Python, Node.js, AWS",636943,912062,Internship,Onsite
53,Backend Developer,Zoho,Chennai,6,"Kubernetes, React, Machine Learning",842479,951805,Full-time,Remote
